0.Variable; GVL.rActualBeamPos;;;;1.Variable;; GVL.rBallFeedback;;
0.Address.AddrFlags; 0x00000000;;;;1.Address.AddrFlags;; 0x00000000;;
0.Class;15;;;;1.Class;;14;;
0.Size;8;;;;1.Size;;4;;
0.GraphColor;4278190335;;;;1.GraphColor;;4278222848;;
0.GraphType;8;;;;1.GraphType;;8;;
0.MinWarningColor;4278190080;;;;1.MinWarningColor;;4278190080;;
0.MaxWarningColor;4294901760;;;;1.MaxWarningColor;;4294901760;;
0.CriticalLowerLimit;0;;;;1.CriticalLowerLimit;;0;;
0.CriticalUpperLimit;0;;;;1.CriticalUpperLimit;;0;;
0.ActivateMinWarning;0;;;;1.ActivateMinWarning;;0;;
0.ActivateMaxWarning;0;;;;1.ActivateMaxWarning;;0;;
0.YAxis;0;;;;1.YAxis;;0;;
0.Data;; ;;;1.Data;;; ;
;;751; 4.9998000000000005;;;;;751; -46.228057861328125
;;753; 5.0004;;;;;753; -46.615909576416016
;;755; 5.0004;;;;;755; -46.6934814453125
;;757; 5.0004;;;;;757; -46.150489807128906
;;759; 5.0004;;;;;759; -45.762641906738281
;;761; 4.9998000000000005;;;;;761; -46.072921752929688
;;763; 4.9998000000000005;;;;;763; -47.158901214599609
;;765; 4.9998000000000005;;;;;765; -47.46917724609375
;;767; 4.9998000000000005;;;;;767; -47.624320983886719
;;769; 5.0001000000000007;;;;;769; -47.701889038085938
;;771; 4.9998000000000005;;;;;771; -47.857028961181641
;;773; 5.0001000000000007;;;;;773; -47.701889038085938
;;775; 5.0001000000000007;;;;;775; -47.779460906982422
;;777; 5.0001000000000007;;;;;777; -48.32244873046875
;;779; 5.0001000000000007;;;;;779; -48.632728576660156
;;781; 4.9998000000000005;;;;;781; -47.857028961181641
;;783; 5.0001000000000007;;;;;783; -46.615909576416016
;;785; 5.0001000000000007;;;;;785; -45.762641906738281
;;787; 5.0001000000000007;;;;;787; -45.297218322753906
;;789; 4.9998000000000005;;;;;789; -45.6850700378418
;;791; 4.9998000000000005;;;;;791; -46.538337707519531
;;793; 4.9998000000000005;;;;;793; -46.848617553710938
;;795; 4.9998000000000005;;;;;795; -46.848617553710938
;;797; 4.9998000000000005;;;;;797; -46.926189422607422
;;799; 4.9994000000000005;;;;;799; -47.391609191894531
;;801; 4.9994000000000005;;;;;801; -47.158901214599609
;;803; 5.0001000000000007;;;;;803; -46.460769653320313
;;805; 5.0001000000000007;;;;;805; -45.452362060546875
;;807; 5.0004;;;;;807; -45.064510345458984
;;809; 5.0001000000000007;;;;;809; -45.529930114746094
;;811; 5.0004;;;;;811; -45.9953498840332
;;813; 4.9998000000000005;;;;;813; -46.460769653320313
;;815; 4.9998000000000005;;;;;815; -46.460769653320313
;;817; 4.9998000000000005;;;;;817; -47.003761291503906
;;819; 4.9998000000000005;;;;;819; -47.546749114990234
;;821; 4.9998000000000005;;;;;821; -48.012168884277344
;;823; 4.9998000000000005;;;;;823; -47.857028961181641
;;825; 4.9998000000000005;;;;;825; -49.020580291748047
;;827; 5.0001000000000007;;;;;827; -49.641139984130859
;;829; 5.0001000000000007;;;;;829; -49.641139984130859
;;831; 5.0001000000000007;;;;;831; -48.244880676269531
